ID,Business Name,Trade Name,Sidewalk Cafe Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Lic Area Sq Ft
244,1207 AMSTERDAM CORP,AMSTERDAM CAFE,Unenclosed Sidewalk Cafe,1172172,"1207 AMSTERDAM AVE, NEW YORK, NY 10027",1207,AMSTERDAM AVE,NEW YORK,NY,10027,Manhattan,,(212) 662-6330,324
758,120 U REST. LLC,TORTARIA,Enclosed Sidewalk Cafe,1412892,"94 UNIVERSITY PL, NEW YORK, NY 10003",94,UNIVERSITY PL,NEW YORK,NY,10003,Manhattan,,(212) 243-8517,292
232,1226 SECOND AVENUE REALTY CORP.,,Unenclosed Sidewalk Cafe,1167555,"1226 2ND AVE, NEW YORK, NY 10065",1226,2ND AVE,NEW YORK,NY,10065,Manhattan,,(212) 758-1775,183
130,1236 SECOND AVENUE REST. CORP.,SILVER STAR RESTAURANT,Enclosed Sidewalk Cafe,1028755,"1236 2 AVENUE, NEW YORK, NY 10065",1236,2 AVENUE,NEW YORK,NY,10065,Manhattan,,(212) 249-4250,645
181,1262 AMSTERDAM CAFE INC,MAX CAFFE,Unenclosed Sidewalk Cafe,1133124,"1262 AMSTERDAM AVE, NEW YORK, NY 10027",1262,AMSTERDAM AVE,NEW YORK,NY,10027,Manhattan,,(212) 288-2937,193
147,1274 AMSTERDAM TRATTORIA INC,MAX SOHA,Unenclosed Sidewalk Cafe,1073015,"1274 AMSTERDAM AVE, NEW YORK, NY 10027",1274,AMSTERDAM AVE,NEW YORK,NY,10027,Manhattan,,(212) 288-2937,314
74,1291 PUB INC.,JG MELLON,Unenclosed Sidewalk Cafe,0954466,"1291 THIRD AVENUE, NEW YORK, NY 10021",1291,THIRD AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 744-0585,175
637,12 FIRST AVENUE RESTAURANT CORP,,Unenclosed Sidewalk Cafe,1352781,"12 1 AVENUE, NEW YORK, NY 10009",12,1 AVENUE,NEW YORK,NY,10009,Manhattan,,(212) 598-9126,307
302,1326 RESTAURANT LLC,BEACH CAFE,Unenclosed Sidewalk Cafe,1217877,"1326 2ND AVE, NEW YORK, NY 10021",1326,2ND AVE,NEW YORK,NY,10021,Manhattan,,(212) 988-7299,429
875,132 MULBERRY INC,UMBERTO'S CLAM HOUSE,Unenclosed Sidewalk Cafe,1432938,"132 MULBERRY STREET, NEW YORK, NY 10013",132,MULBERRY STREET,NEW YORK,NY,10013,Manhattan,,(212) 431-7545,82
685,"135 STUDIO N ADR, INC.",JULIETTE,Unenclosed Sidewalk Cafe,1378763,"135 N 5TH ST, BROOKLYN, NY 11249",135,N 5TH ST,BROOKLYN,NY,11249,Brooklyn,,(646) 373-5149,124
804,"135 WEST B FOOD & DRINK, LLC",TINY'S AND THE BAR UPSTAIRS,Unenclosed Sidewalk Cafe,1421014,"135 W BROADWAY, NEW YORK, NY 10013",135,W BROADWAY,NEW YORK,NY,10013,Manhattan,,(212) 300-7942,112
175,1 & 3 ON 5TH CORP,FABIANE'S CAFE & PASTRY,Unenclosed Sidewalk Cafe,1120483,"142 N 5TH ST, BROOKLYN, NY 11211",142,N 5TH ST,BROOKLYN,NY,11211,Brooklyn,,(718) 218-9632,266
554,13TH STREET ENTERTAINMENT LLC,BRASSERIE BEAUMARCHAIS,Unenclosed Sidewalk Cafe,1324561,"409 W 13TH ST, NEW YORK, NY 10014",409,W 13TH ST,NEW YORK,NY,10014,Manhattan,,(212) 255-1933,204
798,1431 FIRST AVENUE CORP,NUMERO 28,Unenclosed Sidewalk Cafe,1420358,"1431 1ST AVE, NEW YORK, NY 10021",1431,1ST AVE,NEW YORK,NY,10021,Manhattan,,(917) 865-9278,180
337,1465 3RD AVE. REST. CORP.,GAEL PUB,Unenclosed Sidewalk Cafe,1223078,"1465 3RD AVE, NEW YORK, NY 10028",1465,3RD AVE,NEW YORK,NY,10028,Manhattan,,(914) 632-6036,87
692,"1475 SECOND AVENUE BAGEL, LLC",PICK A BAGEL,Unenclosed Sidewalk Cafe,1381059,"1475 2 AVENUE, NEW YORK, NY 10075",1475,2 AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 717-4668,164
107,1483 FIRST AVENUE RESTAURANT INC.,MARUZZELLA,Unenclosed Sidewalk Cafe,1002419,"1483 1ST AVE, NEW YORK, NY 10075",1483,1ST AVE,NEW YORK,NY,10075,Manhattan,,(212) 988-8877,84
72,1490 REST. INC.,DOC WATSON'S,Unenclosed Sidewalk Cafe,0952606,"1490 SECOND AVENUE, NEW YORK, NY 10075",1490,SECOND AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 676-4817,113
467,149 BROADWAY RESTAURANT LLC,DRESSLER,Unenclosed Sidewalk Cafe,1282383,"149 BROADWAY, BROOKLYN, NY 11211",149,BROADWAY,BROOKLYN,NY,11211,Brooklyn,,(718) 384-6343,135
649,149 SECOND AVE. REST. INC,THE 13TH STEP,Unenclosed Sidewalk Cafe,1355808,"149 2ND AVE, NEW YORK, NY 10003",149,2ND AVE,NEW YORK,NY,10003,Manhattan,,(212) 228-8020,215
616,151 BLEECKER LLC,THE RED LION,Enclosed Sidewalk Cafe,1348216,"151 BLEECKER ST, NEW YORK, NY 10012",151,BLEECKER ST,NEW YORK,NY,10012,Manhattan,,(212) 260-9797,172
617,151 BLEECKER LLC,RED LION,Unenclosed Sidewalk Cafe,1348223,"151 BLEECKER STREET, NEW YORK, NY 10012",151,BLEECKER STREET,NEW YORK,NY,10012,Manhattan,,(212) 260-9797,242
578,151 MULBERRY ST CORP,IL PALAZZO,Unenclosed Sidewalk Cafe,1343752,"151 MULBERRY ST, NEW YORK, NY 10013",151,MULBERRY ST,NEW YORK,NY,10013,Manhattan,,(212) 343-7000,82
42,151 SECOND AVE. REST. INC.,RYAN'S IRISH PUB,Unenclosed Sidewalk Cafe,0895599,"151 2ND AVE, NEW YORK, NY 10003",151,2ND AVE,NEW YORK,NY,10003,Manhattan,,(212) 979-9511,260
177,156 SEVENTH AVE GROUP LLC,ELMO,Unenclosed Sidewalk Cafe,1127935,"156 7TH AVE, NEW YORK, NY 10011",156,7TH AVE,NEW YORK,NY,10011,Manhattan,,(212) 337-8000,270
340,156 TENTH AVENUE RESTAURANT LLC,10TH AVENUE COOKSHOP,Unenclosed Sidewalk Cafe,1224204,"156 10TH AVE, NEW YORK, NY 10011",156,10TH AVE,NEW YORK,NY,10011,Manhattan,AKA 460 WEST 20TH STREET,(212) 924-4440,506
940,1600 AMSTERDAM AVENUE CORP,COCCOLA,Unenclosed Sidewalk Cafe,1456073,"1600 AMSTERDAM AVE, NEW YORK, NY 10031",1600,AMSTERDAM AVE,NEW YORK,NY,10031,Manhattan,,(917) 225-3271,292
2,1616 SECOND AVENUE RESTAURANT INC,DORRIAN'S RED HAND  E/S/C #217,Enclosed Sidewalk Cafe,0571720,"1616 2 AVENUE, NEW YORK, NY 10028",1616,2 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 772-6660,435
903,161 MULBERRY RESTAURANT LLC,ITALIAN FOOD CENTER,Unenclosed Sidewalk Cafe,1443292,"161 MULBERRY ST, NEW YORK, NY 10013",161,MULBERRY ST,NEW YORK,NY,10013,Manhattan,,(949) 228-7040,823
982,164 BROAD CORP.,HEIGHTS TAVERN,Unenclosed Sidewalk Cafe,1463574,"3910 BROADWAY, NEW YORK, NY 10032",3910,BROADWAY,NEW YORK,NY,10032,Manhattan,562 W 164TH ST,(212) 866-4500,879
70,164 MULBERRY ST. CORP,DA NICO RESTAURANT,Unenclosed Sidewalk Cafe,0949447,"164 MULBERRY ST, NEW YORK, NY 10013",164,MULBERRY ST,NEW YORK,NY,10013,Manhattan,,(212) 343-1212,113
410,1650 BROADWAY ASSOCIATES INC.,ELLEN'S STARBUST DINER,Unenclosed Sidewalk Cafe,1257707,"1650 BROADWAY, NEW YORK, NY 10019",1650,BROADWAY,NEW YORK,NY,10019,Manhattan,,(212) 582-0161,110
926,1679 3RD AVENUE RESTAURANT CORP.,THE DISTRICT,Unenclosed Sidewalk Cafe,1454085,"1679 3RD AVE, NEW YORK, NY 10128",1679,3RD AVE,NEW YORK,NY,10128,Manhattan,,(914) 760-1496,407
621,16TH STREET BBQ LLC,BROTHER JIMMYS BBQ,Unenclosed Sidewalk Cafe,1349442,"114-116 E 16TH ST, NEW YORK, NY 10003",114-116,E 16TH ST,NEW YORK,NY,10003,Manhattan,,(212) 244-3502,122
517,1702 RATHBONES INC.,RATHBONES,Unenclosed Sidewalk Cafe,1310255,"1702 2ND AVE, NEW YORK, NY 10128",1702,2ND AVE,NEW YORK,NY,10128,Manhattan,,(212) 208-7272,224
734,1710 RESTAURANT CORP.,CARINO RISTORANTE & CAFE,Unenclosed Sidewalk Cafe,1389825,"1710 2ND AVE, NEW YORK, NY 10128",1710,2ND AVE,NEW YORK,NY,10128,Manhattan,,(917) 864-6683,70
152,"172 BLEEKER ST. REST., INC",CAFE ESPANOL,Unenclosed Sidewalk Cafe,1080119,"190 SULLIVAN STREET, NEW YORK, NY 10012",190,SULLIVAN STREET,NEW YORK,NY,10012,Manhattan,,(212) 505-0657,89
56,"172 BLEEKER ST. REST., INC",CAFE ESPANOL,Unenclosed Sidewalk Cafe,0920629,"172 BLEECKER STREET, NEW YORK, NY 10012",172,BLEECKER STREET,NEW YORK,NY,10012,Manhattan,,(212) 505-0657,84
413,174 BEDFORD AVENUE BAR LLC,CHARLESTON,Unenclosed Sidewalk Cafe,1259219,"174 BEDFORD AVE, BROOKLYN, NY 11249",174,BEDFORD AVE,BROOKLYN,NY,11249,Brooklyn,,(718) 599-9199,177
306,174 GRAND STREET CORP.,ONIEAL'S,Unenclosed Sidewalk Cafe,1218544,"174 GRAND ST, NEW YORK, NY 10013",174,GRAND ST,NEW YORK,NY,10013,Manhattan,,(212) 941-9119,126
135,177 CHRYSTIE INC,ESPERANTO,Unenclosed Sidewalk Cafe,1034831,"145 AVENUE C, NEW YORK, NY 10009",145,AVENUE C,NEW YORK,NY,10009,Manhattan,,(212) 505-6559,501
500,179 THIRD AVENUE REST. INC,MUMBLES,Unenclosed Sidewalk Cafe,1299328,"179 3RD AVE, NEW YORK, NY 10003",179,3RD AVE,NEW YORK,NY,10003,Manhattan,200 EAST 17 STREET,(212) 477-6066,363
735,"183 CONDECHI ASSOCIATES, LLC",CAFE CONDESA,Unenclosed Sidewalk Cafe,1390265,"183 W 10TH ST, NEW YORK, NY 10014",183,W 10TH ST,NEW YORK,NY,10014,Manhattan,,(212) 352-0050,75
63,184 3RD AVENUE RESTAURANT CORP.,GRAMERCY CAFE,Enclosed Sidewalk Cafe,0928548,"184 3RD AVE, NEW YORK, NY 10003",184,3RD AVE,NEW YORK,NY,10003,Manhattan,,(718) 567-2990,418
724,187 RESTAURANT CORP,REFRIED BEANS MEXICAN GRILL,Unenclosed Sidewalk Cafe,1387916,"591 FORT WASHINGTON AVE, NEW YORK, NY 10033",591,FORT WASHINGTON AVE,NEW YORK,NY,10033,Manhattan,,(212) 568-2299,181
512,18 BEDFORD AVE LLC,FIVE LEAVES,Unenclosed Sidewalk Cafe,1309076,"18 BEDFORD AVE, BROOKLYN, NY 11222",18,BEDFORD AVE,BROOKLYN,NY,11222,Brooklyn,,(646) 510-6467,319
932,18 GREENWICH AVENUE LLC,ROSEMARY'S,Unenclosed Sidewalk Cafe,1454964,"18 GREENWICH AVENUE, NEW YORK, NY 10011",18,GREENWICH AVENUE,NEW YORK,NY,10011,Manhattan,,(212) 647-1818,183
293,191 GRAND RESTAURANT CORP.,NOVELLA,Unenclosed Sidewalk Cafe,1213603,"191 GRAND ST, NEW YORK, NY 10013",191,GRAND ST,NEW YORK,NY,10013,Manhattan,,(212) 343-1212,371
38,200 EAST 81ST RESTAURANT CORP.,BEYOGLU,Unenclosed Sidewalk Cafe,0890521,"1431 3RD AVE, NEW YORK, NY 10028",1431,3RD AVE,NEW YORK,NY,10028,Manhattan,A/K/A 200 EAST 81 ST,(212) 650-0850,253
916,200 NINTH RESTAURANT LLC,THE MEATBALL SHOP,Unenclosed Sidewalk Cafe,1450652,"200 9TH AVE, NEW YORK, NY 10011",200,9TH AVE,NEW YORK,NY,10011,Manhattan,,(917) 640-8008,186
471,201 REST. 95TH ST. CORP,BUCEO 95,Unenclosed Sidewalk Cafe,1282774,"201 W 95TH ST, NEW YORK, NY 10025",201,W 95TH ST,NEW YORK,NY,10025,Manhattan,,(646) 249-6822,146
690,201 WEST 103 CORP,BUCA,Unenclosed Sidewalk Cafe,1380748,"203 W 103RD ST, NEW YORK, NY 10025",203,W 103RD ST,NEW YORK,NY,10025,Manhattan,,(917) 225-3271,90
354,205 EAST 75TH STREET LLC,FULTON,Unenclosed Sidewalk Cafe,1227438,"205 E 75TH ST, NEW YORK, NY 10021",205,E 75TH ST,NEW YORK,NY,10021,Manhattan,,(212) 227-1700,310
780,207 WEST RESTAURANT CORP,YUMMY THAI,Unenclosed Sidewalk Cafe,1418705,"4959 BROADWAY, NEW YORK, NY 10034",4959,BROADWAY,NEW YORK,NY,10034,Manhattan,,(917) 529-0811,200
659,210 SMITH STREET CORP.,CLOVER CLUB,Unenclosed Sidewalk Cafe,1357820,"210 SMITH STREET, BROOKLYN, NY 11201",210,SMITH STREET,BROOKLYN,NY,11201,Brooklyn,,(718) 855-7939,57
451,211 AVE A RESTAURANT INC.,SHOOLBRED'S,Unenclosed Sidewalk Cafe,1278271,"197 2 AVENUE, NEW YORK, NY 10003",197,2 AVENUE,NEW YORK,NY,10003,Manhattan,,(917) 969-3440,136
625,"212 LAFAYETTE ASSOCIATES,LLC",CAFE SELECT,Unenclosed Sidewalk Cafe,1349707,"212 LAFAYETTE STREET, NEW YORK, NY 10012",212,LAFAYETTE STREET,NEW YORK,NY,10012,Manhattan,,(212) 925-9322,84
917,2255 EMMONS CAFE LOUNGE INC,PERA CAFE & LOUNGE,Unenclosed Sidewalk Cafe,1450950,"2255 EMMONS AVE, BROOKLYN, NY 11235",2255,EMMONS AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 676-2992,501
476,237 BEDFORD AVENUE RESTAURANT CORP.,LA NONNA PIZZERIA/TRATTORIA,Unenclosed Sidewalk Cafe,1283821,"237 BEDFORD AVE, BROOKLYN, NY 11211",237,BEDFORD AVE,BROOKLYN,NY,11211,Brooklyn,,(718) 302-5353,63
197,23RD & 9TH RESTAURANT CORP,,Enclosed Sidewalk Cafe,1141700,"368 WEST   23 STREET, NEW YORK, NY 10011",368,WEST   23 STREET,NEW YORK,NY,10011,Manhattan,,(212) 691-5400,692
858,241 BOWERY CORP,THE BOWERY DINER,Unenclosed Sidewalk Cafe,1429312,"241 BOWERY, NEW YORK, NY 10002",241,BOWERY,NEW YORK,NY,10002,Manhattan,,(212) 388-052,112
509,247 CAFE INC.,BROOKLYN PUBLIC HOUSE,Unenclosed Sidewalk Cafe,1308287,"247 DEKALB AVE, BROOKLYN, NY 11205",247,DEKALB AVE,BROOKLYN,NY,11205,Brooklyn,,(631) 424-8480,99
784,"26TH STREET HOSPITALITY GROUP, LLC",BREAD & TULIPS,Unenclosed Sidewalk Cafe,1419312,"365 PARK AVE S, NEW YORK, NY 10016",365,PARK AVE S,NEW YORK,NY,10016,Manhattan,,(212) 532-9100,201
387,27-39 EAST 30 REST. CORP,THE CROOKED KNIFE,Unenclosed Sidewalk Cafe,1249286,"27-29 E 30TH ST, NEW YORK, NY 10016",27-29,E 30TH ST,NEW YORK,NY,10016,Manhattan,,(646) 359-7372,176
744,2799 BROADWAY GROCERY LLC,CASCABEL TAQUERIA,Unenclosed Sidewalk Cafe,1394145,"2799 BROADWAY, NEW YORK, NY 10025",2799,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 665-1500,392
618,2850 BROADWAY REST ASSOCIATES LLC,,Unenclosed Sidewalk Cafe,1348335,"2850 BROADWAY, NEW YORK, NY 10025",2850,BROADWAY,NEW YORK,NY,10025,Manhattan,,(917) 882-6525,168
456,2888 BROADWAY LLC,AMIGOS,Unenclosed Sidewalk Cafe,1280168,"2888 BROADWAY, NEW YORK, NY 10025",2888,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 864-1143,212
533,2896 BROADWAY FOOD SERVICE INC.,COMMUNITY FOOD AND JUICE,Unenclosed Sidewalk Cafe,1314421,"2893 BROADWAY, NEW YORK, NY 10025",2893,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 665-2800,500
966,2953 BROADWAY INC.,VINE SUSHI,Unenclosed Sidewalk Cafe,1460948,"2955 BROADWAY, NEW YORK, NY 10025",2955,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 222-3568,147
599,"300 WEST 46TH STREET, CORP",BRASSERIE ATHENEE,Unenclosed Sidewalk Cafe,1346488,"300 W 46TH ST, NEW YORK, NY 10036",300,W 46TH ST,NEW YORK,NY,10036,Manhattan,,(212) 399-1100,105
374,301 E. 47TH ST. REST. CORP.,NINO'S POSITANO,Unenclosed Sidewalk Cafe,1242405,"888-890 SECOND AVENUE, NEW YORK, NY 10017",888-890,SECOND AVENUE,NEW YORK,NY,10017,Manhattan,,(212) 355-5540,373
768,307 THIRD AVENUE EAST VENTURE LLC,TAPROOM 307,Unenclosed Sidewalk Cafe,1417471,"307 3RD AVE, NEW YORK, NY 10010",307,3RD AVE,NEW YORK,NY,10010,Manhattan,,(212) 725-4766,97
215,30 E 30 ZANA INC,,Unenclosed Sidewalk Cafe,1161546,"30 EAST   30 STREET, NEW YORK, NY 10016",30,EAST   30 STREET,NEW YORK,NY,10016,Manhattan,,(212) 481-3717,127
463,316 BOWERY LLC,,Unenclosed Sidewalk Cafe,1281748,"316 BOWERY, NEW YORK, NY 10012",316,BOWERY,NEW YORK,NY,10012,Manhattan,,(212) 343-7017,400
223,317 AMSTERDAM CORP,TOLANI,Unenclosed Sidewalk Cafe,1165276,"410 AMSTERDAM AVE, NEW YORK, NY 10024",410,AMSTERDAM AVE,NEW YORK,NY,10024,Manhattan,,(212) 873-6252,178
134,31 GREAT JONES RESTAURANT CORP.,FIVE POINTS,Unenclosed Sidewalk Cafe,1034252,"31 GREAT JONES ST, NEW YORK, NY 10012",31,GREAT JONES ST,NEW YORK,NY,10012,Manhattan,,(212) 253-5700,159
167,31ST STREET PIZZA PALACE INC,PIZZA PALACE,Enclosed Sidewalk Cafe,1103894,"29-29 DITMARS BOULEVARD, ASTORIA, NY 11105",29-29,DITMARS BOULEVARD,ASTORIA,NY,11105,Queens,,(718) 728-1060,341
12,"320 COLUMBUS AVE.,INC",MUGHLAI INDIAN CUISINE,Enclosed Sidewalk Cafe,0738544,"320 COLUMBUS AVE, NEW YORK, NY 10023",320,COLUMBUS AVE,NEW YORK,NY,10023,Manhattan,,(212) 724-0419,298
546,324 SEVENTH AVE. RESTAURANT CORP.,MUSTANG SALLY'S,Unenclosed Sidewalk Cafe,1320689,"324 7 AVENUE, NEW YORK, NY 10001",324,7 AVENUE,NEW YORK,NY,10001,Manhattan,,(212) 695-3806,165
718,325 BOWERY RESTAURANT LLC,PEELS RESTAURANT,Unenclosed Sidewalk Cafe,1385809,"325 BOWERY, NEW YORK, NY 10003",325,BOWERY,NEW YORK,NY,10003,Manhattan,,(212) 932-7566,573
623,325 CHURCH ST. COMPANY LLC,SALUGGI'S,Unenclosed Sidewalk Cafe,1349597,"325 CHURCH ST, NEW YORK, NY 10013",325,CHURCH ST,NEW YORK,NY,10013,Manhattan,,(212) 238-0015,56
49,33-01 BROADWAY CORP.,TIERRAS COLOMBIANAS II,Enclosed Sidewalk Cafe,0916981,"33-01 BROADWAY, ASTORIA, NY 11106",33-01,BROADWAY,ASTORIA,NY,11106,Queens,,(718) 956-3012,720
557,3321 ASTORIA INC,BARE BURGER,Unenclosed Sidewalk Cafe,1327665,"33-21 31ST AVE, ASTORIA, NY 11106",33-21,31ST AVE,ASTORIA,NY,11106,Queens,,(212) 566-6002,363
613,333 LAFAYETTE LLC,PINCHE TAQUERIA,Unenclosed Sidewalk Cafe,1347971,"333 LAFAYETTE STREET, NEW YORK, NY 10012",333,LAFAYETTE STREET,NEW YORK,NY,10012,Manhattan,,(212) 343-9977,334
891,33 WEST 54TH STREET LLC,IL GATTOPARDO,Unenclosed Sidewalk Cafe,1437756,"33 WEST   54 STREET, NEW YORK, NY 10019",33,WEST   54 STREET,NEW YORK,NY,10019,Manhattan,,(212) 246-0412,46
847,343 BROOME STREET RESTAURANT INC,RANDOLPH BEER,Unenclosed Sidewalk Cafe,1426393,"343 BROOME ST, NEW YORK, NY 10013",343,BROOME ST,NEW YORK,NY,10013,Manhattan,,(917) 653-0633,132
20,345 COURT ST CORP,MARCO POLO REST     E/S/C #508,Enclosed Sidewalk Cafe,0789922,"345 COURT ST, BROOKLYN, NY 11231",345,COURT ST,BROOKLYN,NY,11231,Brooklyn,,(718) 852-5015,420
827,345 COURT ST. CORP,MARCO POLO RISTORANTE,Unenclosed Sidewalk Cafe,1422815,"345 COURT ST, BROOKLYN, NY 11231",345,COURT ST,BROOKLYN,NY,11231,Brooklyn,,(718) 852-5015,252
851,348 WYTHE MANAGEMENT LLC,ISA,Unenclosed Sidewalk Cafe,1427399,"348 WYTHE AVE, BROOKLYN, NY 11211",348,WYTHE AVE,BROOKLYN,NY,11211,Brooklyn,,(917) 856-3091,347
756,352 EAST 86TH STREET RESTAURANT INC.,GRACIE'S CORNER,Unenclosed Sidewalk Cafe,1408347,"352 E 86TH ST, NEW YORK, NY 10028",352,E 86TH ST,NEW YORK,NY,10028,Manhattan,,(212) 737-8505,196
11,352 EAST 86TH STREET RESTAURANT INC.,GRACIE'S CORNER,Enclosed Sidewalk Cafe,0737570,"352 E 86TH ST, NEW YORK, NY 10028",352,E 86TH ST,NEW YORK,NY,10028,Manhattan,,(212) 737-8505,201
547,352 RESTAURANT CORP,MUSTANG HARRY'S,Unenclosed Sidewalk Cafe,1320701,"352 7TH AVE, NEW YORK, NY 10001",352,7TH AVE,NEW YORK,NY,10001,Manhattan,,(212) 268-8930,200
723,357 HOSPITALITY INC,,Unenclosed Sidewalk Cafe,1387587,"435 AMSTERDAM AVE, NEW YORK, NY 10024",435,AMSTERDAM AVE,NEW YORK,NY,10024,Manhattan,,(718) 426-4420,473
73,"359 COLUMBUS AVENUE, LLC",ISABELLA'S,Unenclosed Sidewalk Cafe,0953473,"359 COLUMBUS AVE, NEW YORK, NY 10024",359,COLUMBUS AVE,NEW YORK,NY,10024,Manhattan,,(212) 724-2100,558
407,384 3RD AVE REST LLC,WHITEMAN & BLOOM LIQUOR COMPANY,Unenclosed Sidewalk Cafe,1257055,"384 3RD AVE, NEW YORK, NY 10016",384,3RD AVE,NEW YORK,NY,10016,Manhattan,,(914) 632-6036,103
270,384 COLUMBUS AVENUE ASSOCIATES LLC,OCEAN GRILL,Unenclosed Sidewalk Cafe,1190075,"384 COLUMBUS AVE, NEW YORK, NY 10024",384,COLUMBUS AVE,NEW YORK,NY,10024,Manhattan,,(212) 579-2300,375
668,3 IN 1 KITCHEN CORP.,,Enclosed Sidewalk Cafe,1361524,"4902 FORT HAMILTON PKWY, BROOKLYN, NY 11219",4902,FORT HAMILTON PKWY,BROOKLYN,NY,11219,Brooklyn,,(718) 437-7744,191
498,3RD AVE 26 REST. CORP.,SUNFLOWER DINER,Enclosed Sidewalk Cafe,1297821,"359 3RD AVE, NEW YORK, NY 10016",359,3RD AVE,NEW YORK,NY,10016,Manhattan,,(646) 526-0252,252
426,40-01 NORTHERN BOULEVARD CORP,TEQUILA SUNRISE,Enclosed Sidewalk Cafe,1275009,"4001 NORTHERN BLVD, QUEENS, NY 11101",4001,NORTHERN BLVD,QUEENS,NY,11101,Queens,,(917) 841-6667,1044
601,400 WEST 14TH INC,GASLIGHT,Unenclosed Sidewalk Cafe,1346493,"400 W 14TH ST, NEW YORK, NY 10014",400,W 14TH ST,NEW YORK,NY,10014,Manhattan,,(917) 449-5558,631
895,402 8TH AVE. REST. INC,MOLLY WEE PUB,Unenclosed Sidewalk Cafe,1438687,"402 8TH AVE, NEW YORK, NY 10001",402,8TH AVE,NEW YORK,NY,10001,Manhattan,,(212) 967-2627,196
992,4042 EAST TREMONT CAFE CORP.,TOSCA CAFE,Enclosed Sidewalk Cafe,1466017,"4038 EAST TREMONT AVE, BRONX, NY 10465",4038,EAST TREMONT AVE,BRONX,NY,10465,Bronx,,(718) 239-3300,814
332,41-08 REST.CORP.,CHRISTOS STEAK HOUSE,Unenclosed Sidewalk Cafe,1222107,"4108 23RD AVE, QUEENS, NY 11105",4108,23RD AVE,QUEENS,NY,11105,Queens,,(718) 777-8400,439
204,412 AMSTERDAM CORP.,BETTOLA,Unenclosed Sidewalk Cafe,1158198,"412 AMSTERDAM AVE, NEW YORK, NY 10024",412,AMSTERDAM AVE,NEW YORK,NY,10024,Manhattan,,(212) 362-7400,134
737,419 MYRTLE REST CORP,PUTNAM'S,Unenclosed Sidewalk Cafe,1391086,"419 MYRTLE AVE, BROOKYN, NY 11205",419,MYRTLE AVE,BROOKYN,NY,11205,Brooklyn,,(917) 412-7110,677
854,42-02 TAVERN INC,,Unenclosed Sidewalk Cafe,1427814,"4202 BROADWAY, ASTORIA, NY 11103",4202,BROADWAY,ASTORIA,NY,11103,Queens,,(718) 606-2777,552
